"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","button_pressed","adj_rew","choice","del_rew","del_m","last_ask"
"1820097.1000000238","{""Nome"":""CONTROL_TS"",""Cognome"":""14B_POST""}","survey-text","0","1820100","0.0-0.0","","","","","","","",""
"","","fullscreen","1","1829604","0.0-1.0","true","","","","","","",""
"1868.699999988079","","html-button-response","2","1831474","0.0-2.0-0.0","","<p>Scegli il premio:</p>","0","250","0","500","1","false"
"2842.600000023842","","html-button-response","3","1834318","0.0-2.0-1.0","","<p>Scegli il premio:</p>","0","375","0","500","1","false"
"2266.7000000178814","","html-button-response","4","1836585","0.0-2.0-2.0","","<p>Scegli il premio:</p>","0","438","0","500","1","false"
"1826.5999999940395","","html-button-response","5","1838413","0.0-2.0-3.0","","<p>Scegli il premio:</p>","0","469","0","500","1","false"
"1410.2999999821186","","html-button-response","6","1839824","0.0-2.0-4.0","","<p>Scegli il premio:</p>","0","485","0","500","1","false"
"1795","","html-button-response","7","1841620","0.0-2.0-5.0","","<p>Scegli il premio:</p>","0","493","1","500","1","true"
"2635","","html-button-response","8","1844256","0.0-2.0-0.1","","<p>Scegli il premio:</p>","0","250","0","500","60","false"
"1369.2000000178814","","html-button-response","9","1845626","0.0-2.0-1.1","","<p>Scegli il premio:</p>","1","375","0","500","60","false"
"1368.7999999821186","","html-button-response","10","1846996","0.0-2.0-2.1","","<p>Scegli il premio:</p>","1","438","0","500","60","false"
"1075.199999988079","","html-button-response","11","1848072","0.0-2.0-3.1","","<p>Scegli il premio:</p>","1","469","0","500","60","false"
"1379.800000011921","","html-button-response","12","1849453","0.0-2.0-4.1","","<p>Scegli il premio:</p>","0","485","1","500","60","false"
"1404.2999999821186","","html-button-response","13","1850858","0.0-2.0-5.1","","<p>Scegli il premio:</p>","1","481","0","500","60","true"
"1701.4000000059605","","html-button-response","14","1852560","0.0-2.0-0.2","","<p>Scegli il premio:</p>","1","5000","0","10000","6","false"
"1174.4000000059605","","html-button-response","15","1853735","0.0-2.0-1.2","","<p>Scegli il premio:</p>","1","7500","0","10000","6","false"
"1244.199999988079","","html-button-response","16","1854980","0.0-2.0-2.2","","<p>Scegli il premio:</p>","0","8750","0","10000","6","false"
"2025.0999999940395","","html-button-response","17","1857006","0.0-2.0-3.2","","<p>Scegli il premio:</p>","0","9375","0","10000","6","false"
"1703.9000000059605","","html-button-response","18","1858711","0.0-2.0-4.2","","<p>Scegli il premio:</p>","1","9688","1","10000","6","false"
"1124.5","","html-button-response","19","1859836","0.0-2.0-5.2","","<p>Scegli il premio:</p>","0","9610","0","10000","6","true"
"1518.4000000059605","","html-button-response","20","1861355","0.0-2.0-0.3","","<p>Scegli il premio:</p>","0","250","0","500","120","false"
"1077.699999988079","","html-button-response","21","1862434","0.0-2.0-1.3","","<p>Scegli il premio:</p>","1","375","0","500","120","false"
