"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","button_pressed","adj_rew","choice","del_rew","del_m","last_ask"
"18674.000000000004","{""Nome"":""Control_TS"",""Cognome"":""16_B_PRE""}","survey-text","0","18689","0.0-0.0","","","","","","","",""
"","","fullscreen","1","2223833","0.0-1.0","true","","","","","","",""
"4407","","html-button-response","2","2228244","0.0-2.0-0.0","","<p>Scegli il premio:</p>","1","5000","1","10000","60","false"
"1267","","html-button-response","3","2229512","0.0-2.0-1.0","","<p>Scegli il premio:</p>","0","2500","0","10000","60","false"
"1101","","html-button-response","4","2230614","0.0-2.0-2.0","","<p>Scegli il premio:</p>","0","3750","0","10000","60","false"
"1480.9999999995343","","html-button-response","5","2232096","0.0-2.0-3.0","","<p>Scegli il premio:</p>","0","4375","1","10000","60","false"
"1430.9999999995343","","html-button-response","6","2233528","0.0-2.0-4.0","","<p>Scegli il premio:</p>","1","4063","1","10000","60","false"
"716","","html-button-response","7","2234245","0.0-2.0-5.0","","<p>Scegli il premio:</p>","0","3985","0","10000","60","true"
"2965","","html-button-response","8","2237212","0.0-2.0-0.1","","<p>Scegli il premio:</p>","1","5000","0","10000","24","false"
"1482","","html-button-response","9","2238696","0.0-2.0-1.1","","<p>Scegli il premio:</p>","1","7500","0","10000","24","false"
"931","","html-button-response","10","2239628","0.0-2.0-2.1","","<p>Scegli il premio:</p>","1","8750","1","10000","24","false"
"899","","html-button-response","11","2240528","0.0-2.0-3.1","","<p>Scegli il premio:</p>","1","8125","1","10000","24","false"
"1198","","html-button-response","12","2241729","0.0-2.0-4.1","","<p>Scegli il premio:</p>","1","7813","0","10000","24","false"
"1830.9999999995343","","html-button-response","13","2243562","0.0-2.0-5.1","","<p>Scegli il premio:</p>","1","7969","1","10000","24","true"
"1732","","html-button-response","14","2245295","0.0-2.0-0.2","","<p>Scegli il premio:</p>","1","250","0","500","1","false"
"1248.9999999995343","","html-button-response","15","2246546","0.0-2.0-1.2","","<p>Scegli il premio:</p>","0","375","0","500","1","false"
"1398.9999999995343","","html-button-response","16","2247946","0.0-2.0-2.2","","<p>Scegli il premio:</p>","1","438","0","500","1","false"
"915","","html-button-response","17","2248862","0.0-2.0-3.2","","<p>Scegli il premio:</p>","0","469","1","500","1","false"
"1499","","html-button-response","18","2250362","0.0-2.0-4.2","","<p>Scegli il premio:</p>","1","454","1","500","1","false"
"1250","","html-button-response","19","2251613","0.0-2.0-5.2","","<p>Scegli il premio:</p>","1","450","0","500","1","true"
"2264.9999999995343","","html-button-response","20","2253879","0.0-2.0-0.3","","<p>Scegli il premio:</p>","1","250","1","500","120","false"
"1248","","html-button-response","21","2255128","0.0-2.0-1.3","","<p>Scegli il premio:</p>","1","125","1","500","120","false"
"2549","","html-button-response","22","2257678","0.0-2.0-2.3","","<p>Scegli il premio:</p>","0","63","1","500","120","false"
"1248","","html-button-response","23","2258929","0.0-2.0-3.3","","<p>Scegli il premio:</p>","0","32","0","500","120","false"
"749","","html-button-response","24","2259678","0.0-2.0-4.3","","<p>Scegli il premio:</p>","0","48","0","500","120","false"
"1148","","html-button-response","25","2260828","0.0-2.0-5.3","","<p>Scegli il premio:</p>","1","56","1","500","120","true"
"2400.0000000004657","","html-button-response","26","2263229","0.0-2.0-0.4","","<p>Scegli il premio:</p>","0","5000","1","10000","120","false"
"982","","html-button-response","27","2264212","0.0-2.0-1.4","","<p>Scegli il premio:</p>","1","2500","0","10000","120","false"
"1264","","html-button-response","28","2265478","0.0-2.0-2.4","","<p>Scegli il premio:</p>","1","3750","0","10000","120","false"
"867.0000000004657","","html-button-response","29","2266345","0.0-2.0-3.4","","<p>Scegli il premio:</p>","0","4375","1","10000","120","false"
"1415","","html-button-response","30","2267761","0.0-2.0-4.4","","<p>Scegli il premio:</p>","1","4063","1","10000","120","false"
"817","","html-button-response","31","2268579","0.0-2.0-5.4","","<p>Scegli il premio:</p>","1","3985","0","10000","120","true"
"23066","","html-button-response","32","2291645","0.0-2.0-0.5","","<p>Scegli il premio:</p>","0","250","1","500","24","false"
"898.0000000004657","","html-button-response","33","2292545","0.0-2.0-1.5","","<p>Scegli il premio:</p>","1","125","1","500","24","false"
"964","","html-button-response","34","2293511","0.0-2.0-2.5","","<p>Scegli il premio:</p>","0","63","0","500","24","false"
"3215.0000000004657","","html-button-response","35","2296728","0.0-2.0-3.5","","<p>Scegli il premio:</p>","1","94","1","500","24","false"
"816.0000000004657","","html-button-response","36","2297545","0.0-2.0-4.5","","<p>Scegli il premio:</p>","1","79","1","500","24","false"
"631","","html-button-response","37","2298178","0.0-2.0-5.5","","<p>Scegli il premio:</p>","0","75","0","500","24","true"
"1733","","html-button-response","38","2299911","0.0-2.0-0.6","","<p>Scegli il premio:</p>","1","250","1","500","60","false"
"950","","html-button-response","39","2300862","0.0-2.0-1.6","","<p>Scegli il premio:</p>","0","125","1","500","60","false"
"647","","html-button-response","40","2301511","0.0-2.0-2.6","","<p>Scegli il premio:</p>","0","63","1","500","60","false"
"1983","","html-button-response","41","2303495","0.0-2.0-3.6","","<p>Scegli il premio:</p>","1","32","1","500","60","false"
"614","","html-button-response","42","2304110","0.0-2.0-4.6","","<p>Scegli il premio:</p>","0","16","0","500","60","false"
