"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","button_pressed","adj_rew","choice","del_rew","del_m","last_ask"
"12491","{""Nome"":""Control_TS"",""Cognome"":""17_A_POST""}","survey-text","0","12510","0.0-0.0","","","","","","","",""
"","","fullscreen","1","15329","0.0-1.0","true","","","","","","",""
"7962","","html-button-response","2","23295","0.0-2.0-0.0","","<p>Scegli il premio:</p>","0","250","0","500","6","false"
"2114","","html-button-response","3","25411","0.0-2.0-1.0","","<p>Scegli il premio:</p>","1","375","0","500","6","false"
"897","","html-button-response","4","26310","0.0-2.0-2.0","","<p>Scegli il premio:</p>","1","438","0","500","6","false"
"2150","","html-button-response","5","28461","0.0-2.0-3.0","","<p>Scegli il premio:</p>","1","469","1","500","6","false"
"1047","","html-button-response","6","29510","0.0-2.0-4.0","","<p>Scegli il premio:</p>","1","454","1","500","6","false"
"1666.9999999999964","","html-button-response","7","31178","0.0-2.0-5.0","","<p>Scegli il premio:</p>","0","446","1","500","6","true"
"1347.9999999999964","","html-button-response","8","32528","0.0-2.0-0.1","","<p>Scegli il premio:</p>","1","5000","1","10000","60","false"
"964","","html-button-response","9","33493","0.0-2.0-1.1","","<p>Scegli il premio:</p>","1","2500","1","10000","60","false"
"1732.9999999999927","","html-button-response","10","35228","0.0-2.0-2.1","","<p>Scegli il premio:</p>","0","1250","1","10000","60","false"
"1516","","html-button-response","11","36746","0.0-2.0-3.1","","<p>Scegli il premio:</p>","0","625","0","10000","60","false"
"1079.9999999999927","","html-button-response","12","37828","0.0-2.0-4.1","","<p>Scegli il premio:</p>","0","938","1","10000","60","false"
"1330","","html-button-response","13","39161","0.0-2.0-5.1","","<p>Scegli il premio:</p>","1","782","1","10000","60","true"
"2015","","html-button-response","14","41178","0.0-2.0-0.2","","<p>Scegli il premio:</p>","1","250","0","500","120","false"
"1497","","html-button-response","15","42677","0.0-2.0-1.2","","<p>Scegli il premio:</p>","0","375","1","500","120","false"
"1949","","html-button-response","16","44628","0.0-2.0-2.2","","<p>Scegli il premio:</p>","1","313","1","500","120","false"
"1081","","html-button-response","17","45711","0.0-2.0-3.2","","<p>Scegli il premio:</p>","0","282","1","500","120","false"
"1083","","html-button-response","18","46796","0.0-2.0-4.2","","<p>Scegli il premio:</p>","0","266","1","500","120","false"
"631","","html-button-response","19","47428","0.0-2.0-5.2","","<p>Scegli il premio:</p>","0","258","1","500","120","true"
"2499","","html-button-response","20","49928","0.0-2.0-0.3","","<p>Scegli il premio:</p>","0","250","0","500","12","false"
"1498","","html-button-response","21","51428","0.0-2.0-1.3","","<p>Scegli il premio:</p>","1","375","1","500","12","false"
"2037","","html-button-response","22","53467","0.0-2.0-2.3","","<p>Scegli il premio:</p>","0","313","1","500","12","false"
"1810","","html-button-response","23","55278","0.0-2.0-3.3","","<p>Scegli il premio:</p>","1","282","1","500","12","false"
"1482","","html-button-response","24","56761","0.0-2.0-4.3","","<p>Scegli il premio:</p>","0","266","1","500","12","false"
"2147","","html-button-response","25","58910","0.0-2.0-5.3","","<p>Scegli il premio:</p>","0","258","1","500","12","true"
"1449","","html-button-response","26","60360","0.0-2.0-0.4","","<p>Scegli il premio:</p>","1","5000","1","10000","6","false"
"1182","","html-button-response","27","61544","0.0-2.0-1.4","","<p>Scegli il premio:</p>","0","2500","1","10000","6","false"
"1499","","html-button-response","28","63043","0.0-2.0-2.4","","<p>Scegli il premio:</p>","1","1250","1","10000","6","false"
"1200","","html-button-response","29","64244","0.0-2.0-3.4","","<p>Scegli il premio:</p>","1","625","0","10000","6","false"
"565.9999999999854","","html-button-response","30","64811","0.0-2.0-4.4","","<p>Scegli il premio:</p>","1","938","0","10000","6","false"
"833","","html-button-response","31","65646","0.0-2.0-5.4","","<p>Scegli il premio:</p>","1","1172","0","10000","6","true"
"1031.0000000000146","","html-button-response","32","66677","0.0-2.0-0.5","","<p>Scegli il premio:</p>","1","5000","0","10000","1","false"
"1081","","html-button-response","33","67760","0.0-2.0-1.5","","<p>Scegli il premio:</p>","1","7500","1","10000","1","false"
"3484","","html-button-response","34","71245","0.0-2.0-2.5","","<p>Scegli il premio:</p>","0","6250","1","10000","1","false"
"1601","","html-button-response","35","72847","0.0-2.0-3.5","","<p>Scegli il premio:</p>","1","5625","1","10000","1","false"
"1014","","html-button-response","36","73861","0.0-2.0-4.5","","<p>Scegli il premio:</p>","0","5313","0","10000","1","false"
"647","","html-button-response","37","74510","0.0-2.0-5.5","","<p>Scegli il premio:</p>","0","5547","0","10000","1","true"
"1549.0000000000146","","html-button-response","38","76061","0.0-2.0-0.6","","<p>Scegli il premio:</p>","0","250","0","500","24","false"
"2083","","html-button-response","39","78145","0.0-2.0-1.6","","<p>Scegli il premio:</p>","0","375","1","500","24","false"
"1665.0000000000146","","html-button-response","40","79811","0.0-2.0-2.6","","<p>Scegli il premio:</p>","0","313","0","500","24","false"
"982","","html-button-response","41","80794","0.0-2.0-3.6","","<p>Scegli il premio:</p>","0","344","0","500","24","false"
