"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","button_pressed","adj_rew","choice","del_rew","del_m","last_ask"
"27109","{""Nome"":""Control_TS"",""Cognome"":""25_A_PRE""}","survey-text","0","27137","0.0-0.0","","","","","","","",""
"","","fullscreen","1","32102","0.0-1.0","true","","","","","","",""
"2361","","html-button-response","2","34467","0.0-2.0-0.0","","<p>Scegli il premio:</p>","1","250","1","500","60","false"
"6547","","html-button-response","3","41016","0.0-2.0-1.0","","<p>Scegli il premio:</p>","0","125","1","500","60","false"
"5082","","html-button-response","4","46099","0.0-2.0-2.0","","<p>Scegli il premio:</p>","0","63","0","500","60","false"
"1852","","html-button-response","5","47954","0.0-2.0-3.0","","<p>Scegli il premio:</p>","0","94","0","500","60","false"
"5915","","html-button-response","6","53870","0.0-2.0-4.0","","<p>Scegli il premio:</p>","0","110","1","500","60","false"
"1378.9999999999927","","html-button-response","7","55250","0.0-2.0-5.0","","<p>Scegli il premio:</p>","0","102","1","500","60","true"
"1901.9999999999927","","html-button-response","8","57154","0.0-2.0-0.1","","<p>Scegli il premio:</p>","0","250","1","500","6","false"
"3182","","html-button-response","9","60337","0.0-2.0-1.1","","<p>Scegli il premio:</p>","0","125","0","500","6","false"
"6095","","html-button-response","10","66434","0.0-2.0-2.1","","<p>Scegli il premio:</p>","1","188","0","500","6","false"
"2049","","html-button-response","11","68484","0.0-2.0-3.1","","<p>Scegli il premio:</p>","0","219","0","500","6","false"
"1846","","html-button-response","12","70333","0.0-2.0-4.1","","<p>Scegli il premio:</p>","0","235","0","500","6","false"
"6949.000000000015","","html-button-response","13","77283","0.0-2.0-5.1","","<p>Scegli il premio:</p>","1","246.5","0","500","6","true"
"1847","","html-button-response","14","79132","0.0-2.0-0.2","","<p>Scegli il premio:</p>","1","250","0","500","1","false"
"2885","","html-button-response","15","82020","0.0-2.0-1.2","","<p>Scegli il premio:</p>","1","375","0","500","1","false"
"8929.999999999985","","html-button-response","16","90950","0.0-2.0-2.2","","<p>Scegli il premio:</p>","1","438","1","500","1","false"
"2682","","html-button-response","17","93632","0.0-2.0-3.2","","<p>Scegli il premio:</p>","1","407","0","500","1","false"
"7202","","html-button-response","18","100836","0.0-2.0-4.2","","<p>Scegli il premio:</p>","0","423","0","500","1","false"
"3179.0000000000146","","html-button-response","19","104017","0.0-2.0-5.2","","<p>Scegli il premio:</p>","0","431","1","500","1","true"
"3185","","html-button-response","20","107204","0.0-2.0-0.3","","<p>Scegli il premio:</p>","0","250","1","500","24","false"
"17749","","html-button-response","21","124954","0.0-2.0-1.3","","<p>Scegli il premio:</p>","0","125","1","500","24","false"
"1081.0000000000146","","html-button-response","22","126037","0.0-2.0-2.3","","<p>Scegli il premio:</p>","1","63","0","500","24","false"
"1327.9999999999854","","html-button-response","23","127367","0.0-2.0-3.3","","<p>Scegli il premio:</p>","0","94","0","500","24","false"
"2981","","html-button-response","24","130349","0.0-2.0-4.3","","<p>Scegli il premio:</p>","1","110","1","500","24","false"
"1781","","html-button-response","25","132132","0.0-2.0-5.3","","<p>Scegli il premio:</p>","1","106","0","500","24","true"
"4352.999999999971","","html-button-response","26","136486","0.0-2.0-0.4","","<p>Scegli il premio:</p>","1","250","0","500","12","false"
"2083","","html-button-response","27","138570","0.0-2.0-1.4","","<p>Scegli il premio:</p>","0","375","0","500","12","false"
